21:01:40.071 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=66, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:45.823 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=67, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:50.828 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=68, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:55.832 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=69, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:56.126 [Thread-92] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
21:05:15.511 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: registerWebSocketHandlers，属于com.example.lyc.springboot.demo.config.WebSocketConfig包==============
21:05:15.511 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:15.512 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法registerWebSocketHandlers执行完毕，但返回参数为 null==============
21:05:15.512 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:15.512 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法registerWebSocketHandlers已经执行完==============
21:05:15.608 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法filterChain执行完毕，返回参数为：DefaultSecurityFilterChain [RequestMatcher=any request, Filters=[org.springframework.security.web.session.DisableEncodeUrlFilter@1b267f0a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2cd1589e, org.springframework.security.web.context.SecurityContextHolderFilter@1566b2ee, org.springframework.security.web.header.HeaderWriterFilter@124da83c, org.springframework.security.web.authentication.logout.LogoutFilter@4215e2ea, com.example.lyc.springboot.demo.security.JwtAuthenticationFilter@23cb04d9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@177e4e8e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7188e8e7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1d378a4c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@46a42410, org.springframework.security.web.access.ExceptionTranslationFilter@3cea0735, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1daffcc6]]==============
21:05:15.608 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：DefaultSecurityFilterChain [RequestMatcher=any request, Filters=[org.springframework.security.web.session.DisableEncodeUrlFilter@1b267f0a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2cd1589e, org.springframework.security.web.context.SecurityContextHolderFilter@1566b2ee, org.springframework.security.web.header.HeaderWriterFilter@124da83c, org.springframework.security.web.authentication.logout.LogoutFilter@4215e2ea, com.example.lyc.springboot.demo.security.JwtAuthenticationFilter@23cb04d9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@177e4e8e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7188e8e7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1d378a4c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@46a42410, org.springframework.security.web.access.ExceptionTranslationFilter@3cea0735, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1daffcc6]]增强版==============
21:05:15.609 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:15.609 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法filterChain已经执行完==============
21:05:15.625 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:15.640 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: publicApi，属于com.example.lyc.springboot.demo.config.SwaggerConfig包==============
21:05:15.641 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:15.641 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法publicApi执行完毕，返回参数为：org.springdoc.core.models.GroupedOpenApi@33f74514==============
21:05:15.641 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.springdoc.core.models.GroupedOpenApi@33f74514增强版==============
21:05:15.641 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:15.641 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法publicApi已经执行完==============
21:05:15.643 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:15.643 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: privateApi，属于com.example.lyc.springboot.demo.config.SwaggerConfig包==============
21:05:15.643 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:15.643 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法privateApi执行完毕，返回参数为：org.springdoc.core.models.GroupedOpenApi@549473de==============
21:05:15.643 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.springdoc.core.models.GroupedOpenApi@549473de增强版==============
21:05:15.643 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:15.643 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法privateApi已经执行完==============
21:05:15.892 [restartedMain] INFO  c.c.f.a.s.a.SpringValueProcessor - Monitoring key: spring.mvc.servlet.path, beanName: swaggerWelcome, field: org.springdoc.webmvc.ui.SwaggerWelcomeWebMvc.mvcServletPath
21:05:16.386 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
21:05:16.424 [restartedMain] INFO  c.e.lyc.springboot.demo.Application - Started Application in 3.628 seconds (process running for 135.175)
21:05:16.425 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:16.426 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: onApplicationEvent，属于com.example.lyc.springboot.demo.listener.MyListener包==============
21:05:16.426 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:16.426 [restartedMain] DEBUG c.e.l.s.demo.listener.MyListener - 应用已启动完成
21:05:16.426 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法onApplicationEvent执行完毕，但返回参数为 null==============
21:05:16.426 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:16.426 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法onApplicationEvent已经执行完==============
21:05:21.424 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:05:26.435 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=1, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:05:31.440 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=2, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:05:33.658 [Apollo-RemoteConfigLongPollService-1] WARN  c.c.f.a.i.RemoteConfigLongPollService - Long polling failed, will retry in 120 seconds. appId: platform, cluster: default, namespaces: application+message+sensitive-config, long polling url: null, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:05:36.445 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=3, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:05:41.449 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=4, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:05:46.457 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=5, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:05:51.463 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=6, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:05:56.470 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=7, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:05:57.465 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:57.465 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: requestInitialized，属于com.example.lyc.springboot.demo.listener.MyServletRequestListener包==============
21:05:57.465 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:57.466 [http-nio-8088-exec-1] INFO  c.e.l.s.d.l.MyServletRequestListener - session id为：AB524942BC682FC8D81C05E6FBFB2F7E
21:05:57.466 [http-nio-8088-exec-1] INFO  c.e.l.s.d.l.MyServletRequestListener - request url为：http://3z5753f148.vicp.fun/
21:05:57.467 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestInitialized执行完毕，但返回参数为 null==============
21:05:57.467 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:57.467 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestInitialized已经执行完==============
21:05:57.468 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:05:57.475 [http-nio-8088-exec-1] INFO  c.e.l.s.d.c.I.MyInterceptor - ====拦截到了静态资源请求，跳过处理====
21:05:57.476 [http-nio-8088-exec-1] INFO  c.e.l.s.d.c.I.MyInterceptor - 执行完方法之后进执行(Controller方法调用之后)，但是此时还没进行视图渲染
21:05:57.476 [http-nio-8088-exec-1] INFO  c.e.l.s.d.c.I.MyInterceptor - 整个请求都处理完咯，DispatcherServlet也渲染了对应的视图咯，此时我可以做一些清理的工作了
21:05:57.520 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:57.523 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: requestDestroyed，属于com.example.lyc.springboot.demo.listener.MyServletRequestListener包==============
21:05:57.523 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:57.524 [http-nio-8088-exec-1] INFO  c.e.l.s.d.l.MyServletRequestListener - request end
21:05:57.524 [http-nio-8088-exec-1] INFO  c.e.l.s.d.l.MyServletRequestListener - request域中保存的name值为：测试自定义事件监听器
21:05:57.524 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestDestroyed执行完毕，但返回参数为 null==============
21:05:57.531 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:57.532 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestDestroyed已经执行完==============
21:05:57.621 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:57.621 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: requestInitialized，属于com.example.lyc.springboot.demo.listener.MyServletRequestListener包==============
21:05:57.621 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:57.621 [http-nio-8088-exec-2] INFO  c.e.l.s.d.l.MyServletRequestListener - session id为：AB524942BC682FC8D81C05E6FBFB2F7E
21:05:57.621 [http-nio-8088-exec-2] INFO  c.e.l.s.d.l.MyServletRequestListener - request url为：http://3z5753f148.vicp.fun/login
21:05:57.621 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestInitialized执行完毕，但返回参数为 null==============
21:05:57.621 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:57.622 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestInitialized已经执行完==============
21:05:57.623 [http-nio-8088-exec-2] INFO  c.e.l.s.d.c.I.MyInterceptor - ====拦截到了方法：login，在该方法执行之前执行====
21:05:57.624 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:57.624 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: login，属于com.example.lyc.springboot.demo.controller.loginController包==============
21:05:57.624 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==================用户请求的url为：http://3z5753f148.vicp.fun/login，ip地址为：127.0.0.1==============
21:05:57.624 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法login执行完毕，返回参数为：login==============
21:05:57.624 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：login增强版==============
21:05:57.624 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:57.624 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法login已经执行完==============
21:05:57.625 [http-nio-8088-exec-2] INFO  c.e.l.s.d.c.I.MyInterceptor - 执行完方法之后进执行(Controller方法调用之后)，但是此时还没进行视图渲染
21:05:57.656 [http-nio-8088-exec-2] INFO  c.e.l.s.d.c.I.MyInterceptor - 整个请求都处理完咯，DispatcherServlet也渲染了对应的视图咯，此时我可以做一些清理的工作了
21:05:57.657 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:57.657 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: requestDestroyed，属于com.example.lyc.springboot.demo.listener.MyServletRequestListener包==============
21:05:57.657 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:57.657 [http-nio-8088-exec-2] INFO  c.e.l.s.d.l.MyServletRequestListener - request end
21:05:57.657 [http-nio-8088-exec-2] INFO  c.e.l.s.d.l.MyServletRequestListener - request域中保存的name值为：测试自定义事件监听器
21:05:57.657 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestDestroyed执行完毕，但返回参数为 null==============
21:05:57.657 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:57.658 [http-nio-8088-exec-2] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestDestroyed已经执行完==============
21:05:58.359 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:58.360 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: requestInitialized，属于com.example.lyc.springboot.demo.listener.MyServletRequestListener包==============
21:05:58.360 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:58.360 [http-nio-8088-exec-3] INFO  c.e.l.s.d.l.MyServletRequestListener - session id为：AB524942BC682FC8D81C05E6FBFB2F7E
21:05:58.360 [http-nio-8088-exec-3] INFO  c.e.l.s.d.l.MyServletRequestListener - request url为：http://3z5753f148.vicp.fun/favicon.ico
21:05:58.360 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestInitialized执行完毕，但返回参数为 null==============
21:05:58.360 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:58.360 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestInitialized已经执行完==============
21:05:58.391 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:05:58.395 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: requestDestroyed，属于com.example.lyc.springboot.demo.listener.MyServletRequestListener包==============
21:05:58.395 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:05:58.396 [http-nio-8088-exec-3] INFO  c.e.l.s.d.l.MyServletRequestListener - request end
21:05:58.397 [http-nio-8088-exec-3] INFO  c.e.l.s.d.l.MyServletRequestListener - request域中保存的name值为：测试自定义事件监听器
21:05:58.398 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestDestroyed执行完毕，但返回参数为 null==============
21:05:58.398 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:05:58.398 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestDestroyed已经执行完==============
21:06:01.476 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=8, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:06:06.481 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=9, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:06:06.507 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:06:06.507 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: requestInitialized，属于com.example.lyc.springboot.demo.listener.MyServletRequestListener包==============
21:06:06.507 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:06:06.508 [http-nio-8088-exec-4] INFO  c.e.l.s.d.l.MyServletRequestListener - session id为：AB524942BC682FC8D81C05E6FBFB2F7E
21:06:06.508 [http-nio-8088-exec-4] INFO  c.e.l.s.d.l.MyServletRequestListener - request url为：http://3z5753f148.vicp.fun/location
21:06:06.508 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestInitialized执行完毕，但返回参数为 null==============
21:06:06.508 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:06:06.508 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法requestInitialized已经执行完==============
21:06:06.518 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:06:06.518 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: handleUnexpectedServer，属于com.example.lyc.springboot.demo.exception.GlobalExceptionHandler包==============
21:06:06.518 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ==================用户请求的url为：http://3z5753f148.vicp.fun/location，ip地址为：127.0.0.1==============
21:06:06.518 [http-nio-8088-exec-4] ERROR c.e.l.s.d.e.GlobalExceptionHandler - 系统异常：
org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' is not supported
	at org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping.handleNoMatch(RequestMappingInfoHandlerMapping.java:265)
	at org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.lookupHandlerMethod(AbstractHandlerMethodMapping.java:441)
	at org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.getHandlerInternal(AbstractHandlerMethodMapping.java:382)
	at org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping.getHandlerInternal(RequestMappingInfoHandlerMapping.java:126)
	at org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping.getHandlerInternal(RequestMappingInfoHandlerMapping.java:68)
	at org.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler(AbstractHandlerMapping.java:505)
	at org.springframework.web.servlet.DispatcherServlet.getHandler(DispatcherServlet.java:1275)
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1057)
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:974)
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1011)
	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:903)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:564)
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:885)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:658)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:205)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:149)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:174)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:149)
	at org.springframework.security.web.FilterChainProxy.lambda$doFilterInternal$3(FilterChainProxy.java:231)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:365)
	at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.invoke(FilterSecurityInterceptor.java:117)
	at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.doFilter(FilterSecurityInterceptor.java:83)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:126)
	at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:120)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.authentication.AnonymousAuthenticationFilter.doFilter(AnonymousAuthenticationFilter.java:100)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter.doFilter(SecurityContextHolderAwareRequestFilter.java:179)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.savedrequest.RequestCacheAwareFilter.doFilter(RequestCacheAwareFilter.java:63)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter.doFilter(AbstractAuthenticationProcessingFilter.java:227)
	at org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter.doFilter(AbstractAuthenticationProcessingFilter.java:221)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at com.example.lyc.springboot.demo.security.JwtAuthenticationFilter.doFilterInternal(JwtAuthenticationFilter.java:43)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:107)
	at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:93)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.header.HeaderWriterFilter.doHeadersAfter(HeaderWriterFilter.java:90)
	at org.springframework.security.web.header.HeaderWriterFilter.doFilterInternal(HeaderWriterFilter.java:75)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.context.SecurityContextHolderFilter.doFilter(SecurityContextHolderFilter.java:82)
	at org.springframework.security.web.context.SecurityContextHolderFilter.doFilter(SecurityContextHolderFilter.java:69)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter.doFilterInternal(WebAsyncManagerIntegrationFilter.java:62)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.session.DisableEncodeUrlFilter.doFilterInternal(DisableEncodeUrlFilter.java:42)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:233)
